country,capital,continent_id,photo,description
Spain,Madrid,2,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fspain.jpg?alt=media&token=746f04c9-a6fd-4ad5-a480-fcc8439b8f50,"Spain captivates visitors with vibrant festivals, flamenco dancing, and architectural wonders like the Sagrada Familia. Indulge in tapas culture, bask on sun-kissed beaches, and explore historic treasures in cities like Barcelona and Madrid."
United States,"Washington, D.C.",3,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Funited%20states.jpg?alt=media&token=781ef577-4d68-48f1-a31b-051fc2cd755a,"The United States offers diverse attractions, from the entertainment hub of Hollywood to the natural wonders of the Grand Canyon. Enjoy cultural melting pots like New York City, the theme parks of Orlando, and the scenic landscapes of national parks."
China,Beijing,1,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fchina.jpg?alt=media&token=0ca2c62d-7e7d-412e-baa5-d518cb51bc37,"China, a blend of ancient traditions and modern marvels, showcases the Great Wall, Forbidden City, and Terracotta Army. Experience dynamic city life in Beijing and Shanghai, savor authentic cuisine, and explore serene landscapes in Guilin."
France,Paris ,2,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Ffrance.jpg?alt=media&token=4c5d28e2-bdb5-457c-a059-00c47208d52d,"France, renowned for its romantic ambiance, exquisite cuisine, and iconic landmarks like the Eiffel Tower and Louvre Museum, draws millions with its charming villages, world-class wines, and the glamorous French Riviera."
Turkey,Ankara,1,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fturkey.jpg?alt=media&token=bddb8079-4e67-4cbf-af79-cbe74783836e,"Turkey straddles East and West, offering the ancient wonders of Istanbul's Hagia Sophia and Blue Mosque. Discover the unique landscapes of Cappadocia, relax on Mediterranean beaches, and indulge in flavorful Turkish cuisine."
Germany,Berlin,2,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fgermany.jpg?alt=media&token=fd755143-93ad-44cb-9c93-d897972b52ab,"Germany, a blend of historic charm and modern efficiency, boasts the fairy-tale landscapes of Bavaria and the dynamic city life of Berlin. Immerse yourself in Oktoberfest festivities, explore medieval castles, and enjoy precision engineering in the automotive industry."
United Kingdom,London,2,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Funited%20kingdom.jpg?alt=media&token=812a5819-455e-4b43-99bf-355ded589493,"The United Kingdom offers a rich tapestry of history and culture. London's iconic landmarks, Scotland's picturesque landscapes, and the literary heritage of England draw visitors. Experience royal traditions, explore medieval castles, and enjoy the lively arts scene."
Mexico,Mexico City,3,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fmexico.jpg?alt=media&token=b08b63dd-37ac-49fb-820c-f99c35b72825,"Mexico enchants with its vibrant culture, ancient Mayan ruins in Chichen Itza, and lively festivals. Explore the beaches of Cancun, delve into Aztec history in Mexico City, and savor authentic tacos and tequila."
Thailand,Bangkok,1,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fthailand.jpg?alt=media&token=f4e60bcd-625b-4e68-a279-ac869b94e9f9,"Thailand, known for its tropical beaches, ornate temples, and bustling markets, beckons with the vibrant street life of Bangkok. Explore ancient ruins in Ayutthaya, indulge in Thai cuisine, and unwind on the paradisiacal islands of Phuket and Koh Phi Phi."
Italy,Rome ,2,https://firebasestorage.googleapis.com/v0/b/edward-travel-guide.appspot.com/o/country-picture%2Fitaly.jpg?alt=media&token=d31ded52-5639-4be0-a202-aba038d69bfb,"Italy entices with its art-rich cities, historic ruins in Rome, and romantic gondola rides in Venice. Culinary delights, world-class art, and the stunning Amalfi Coast create an irresistible charm for visitors."
